rank,repo_name,forks,stars,language,repo_url,description,id,last_commit
42,llama.cpp,2036,14944,C,https://github.com/ggerganov/llama.cpp,Port of Facebook's LLaMA model in C/C++,R_kgDOJH_K4A,2023-03-28T13:02:43Z
43,timescaledb,782,14729,C,https://github.com/timescale/timescaledb,An open-source time-series SQL database optimized for fast ingest and complex queries.  Packaged as a PostgreSQL extension.,MDEwOlJlcG9zaXRvcnk4NDI0MDg1MA==,2023-03-28T13:06:08Z
44,qmk_firmware,31426,14688,C,https://github.com/qmk/qmk_firmware,Open-source keyboard firmware for Atmel AVR and Arm USB families,MDEwOlJlcG9zaXRvcnkyNzczNzM5Mw==,2023-03-28T11:26:05Z
45,openwrt,8475,14481,C,https://github.com/openwrt/openwrt,This repository is a mirror of https://git.openwrt.org/openwrt/openwrt.git It is for reference only and is not active for check-ins.  We will continue to accept Pull Requests here. They will be merged via staging trees then into openwrt.git.,MDEwOlJlcG9zaXRvcnk0NTgyMTU0MA==,2023-03-28T13:09:04Z
46,Mailspring,865,13936,C,https://github.com/Foundry376/Mailspring,":love_letter: A beautiful, fast and fully open source mail client for Mac, Windows and Linux.",MDEwOlJlcG9zaXRvcnk3MDc3NzE4MA==,2023-02-27T09:50:18Z
47,ish,732,13665,C,https://github.com/ish-app/ish,Linux shell for iOS,MDEwOlJlcG9zaXRvcnk5MDMyMDQ5NA==,2023-03-27T06:22:37Z
48,nuklear,1122,13523,C,https://github.com/vurtun/nuklear,A single-header ANSI C gui library,MDEwOlJlcG9zaXRvcnkzMjg2NjQ1NA==,2020-01-03T21:36:41Z
49,WindTerm,1043,13493,C,https://github.com/kingToolbox/WindTerm,A professional cross-platform SSH/Sftp/Shell/Telnet/Serial terminal.,MDEwOlJlcG9zaXRvcnkyMTQwMTE0MTQ=,2023-03-23T09:33:20Z
50,blurhash,304,13478,C,https://github.com/woltapp/blurhash,A very compact representation of a placeholder for an image.,MDEwOlJlcG9zaXRvcnkxOTM4ODU0NjQ=,2023-03-15T03:06:42Z
51,whisper.cpp,1054,13460,C,https://github.com/ggerganov/whisper.cpp,Port of OpenAI's Whisper model in C/C++,R_kgDOIEMdig,2023-03-28T10:31:10Z
52,open-gpu-kernel-modules,930,12964,C,https://github.com/NVIDIA/open-gpu-kernel-modules,NVIDIA Linux open GPU kernel module source,R_kgDOHRZU2w,2023-03-23T18:01:32Z
53,kcp,2341,12882,C,https://github.com/skywind3000/kcp,:zap: KCP - A Fast and Reliable ARQ Protocol,MDEwOlJlcG9zaXRvcnkyODUxNTgzOQ==,2023-03-22T00:40:19Z
54,ExplorerPatcher,651,12673,C,https://github.com/valinet/ExplorerPatcher,This project aims to enhance the working environment on Windows,MDEwOlJlcG9zaXRvcnkzOTQzMTg3MTA=,2023-03-25T14:03:18Z
55,memcached,3174,12513,C,https://github.com/memcached/memcached,memcached development tree,MDEwOlJlcG9zaXRvcnkxODQ5ODE=,2023-03-28T08:44:15Z
56,nginx-rtmp-module,3446,12483,C,https://github.com/arut/nginx-rtmp-module,NGINX-based Media Streaming Server,MDEwOlJlcG9zaXRvcnkzNzE0OTAw,2022-06-21T08:56:37Z
57,raylib,1471,12410,C,https://github.com/raysan5/raylib,A simple and easy-to-use library to enjoy videogames programming,MDEwOlJlcG9zaXRvcnkxMzgzNjQ5OQ==,2023-03-25T22:26:38Z
58,HandBrake,1094,12368,C,https://github.com/HandBrake/HandBrake,HandBrake's main development repository ,MDEwOlJlcG9zaXRvcnk0MTIxNTgzNQ==,2023-03-27T20:12:25Z
59,reactos,1517,12154,C,https://github.com/reactos/reactos,A free Windows-compatible Operating System,MDEwOlJlcG9zaXRvcnkxMDU2Mjc4NDY=,2023-03-28T12:22:38Z
60,sway,994,12117,C,https://github.com/swaywm/sway,i3-compatible Wayland compositor,MDEwOlJlcG9zaXRvcnk0MDIxNzkwNA==,2023-03-27T08:56:38Z
61,raspberry-pi-os,1233,12106,C,https://github.com/s-matyukevich/raspberry-pi-os,Learning operating system development using Linux kernel and Raspberry Pi,MDEwOlJlcG9zaXRvcnk5NTEzMzY2NQ==,2023-02-06T00:47:58Z
62,postgres,3802,12070,C,https://github.com/postgres/postgres,"Mirror of the official PostgreSQL GIT repository. Note that this is just a *mirror* - we don't work with pull requests on github. To contribute, please see https://wiki.postgresql.org/wiki/Submitting_a_Patch",MDEwOlJlcG9zaXRvcnk5Mjc0NDI=,2023-03-28T08:18:05Z
63,brotli,1178,12001,C,https://github.com/google/brotli,Brotli compression format,MDEwOlJlcG9zaXRvcnkyNDk5MzEzOA==,2023-03-23T17:13:47Z
64,tengine,2463,11930,C,https://github.com/alibaba/tengine,A distribution of Nginx with some advanced features,MDEwOlJlcG9zaXRvcnkzNzg0MDE3,2023-03-27T05:25:29Z
65,skynet,3968,11855,C,https://github.com/cloudwu/skynet,A lightweight online game framework,MDEwOlJlcG9zaXRvcnk1MjU0NTU3,2023-03-28T09:20:44Z
66,twemproxy,2034,11733,C,https://github.com/twitter/twemproxy,"A fast, light-weight proxy for memcached and redis",MDEwOlJlcG9zaXRvcnkzNTE2NjI0,2023-01-14T09:22:36Z
67,lvgl,2377,11635,C,https://github.com/lvgl/lvgl,"Embedded graphics library to create beautiful UIs for any MCU, MPU and display type. It's boosted by a professional yet affordable drag and drop UI editor, called SquareLine Studio.",MDEwOlJlcG9zaXRvcnk2MDY2NzczMA==,2023-03-28T12:02:13Z
68,robotjs,893,11608,C,https://github.com/octalmage/robotjs,Node.js Desktop Automation. ,MDEwOlJlcG9zaXRvcnkyMzUxNTAyNA==,2022-12-06T22:17:24Z
