rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
758,C,f3,1893,122,C,https://github.com/AltraMayor/f3,AltraMayor,48,2023-03-13T14:13:19Z,F3 - Fight Flash Fraud
759,C,txiki.js,1889,121,C,https://github.com/saghul/txiki.js,saghul,23,2023-03-09T13:25:39Z,A tiny JavaScript runtime
760,C,YAOF,1885,542,C,https://github.com/QiuSimons/YAOF,QiuSimons,0,2023-03-27T08:50:08Z,OpenWrt for Nanopi R2C/R2S/R4S/X86
761,C,android_bootable_recovery,1885,1543,C,https://github.com/omnirom/android_bootable_recovery,omnirom,0,2023-02-15T20:58:36Z,
762,C,CSAPP-Labs,1883,405,C,https://github.com/Exely/CSAPP-Labs,Exely,3,2023-02-15T15:50:22Z,Solutions and Notes for Labs of Computer Systems: A Programmer's Perspective 3rd Editon // 《深入理解计算机系统》第三版的实验文件、解答与笔记
763,C,nuster,1881,157,C,https://github.com/jiangwenyuan/nuster,jiangwenyuan,19,2021-12-07T14:46:06Z,A high performance HTTP proxy cache server and RESTful NoSQL cache server based on HAProxy
764,C,Shipwright,1870,316,C,https://github.com/HarbourMasters/Shipwright,HarbourMasters,344,2023-03-27T10:09:59Z,
765,C,KernelSU,1868,299,C,https://github.com/tiann/KernelSU,tiann,4,2023-03-27T10:52:45Z,A Kernel based root solution for Android
766,C,sslscan,1868,356,C,https://github.com/rbsec/sslscan,rbsec,31,2023-03-20T13:44:19Z,sslscan tests SSL/TLS enabled services to discover supported cipher suites
767,C,PureDarwin,1866,148,C,https://github.com/PureDarwin/PureDarwin,PureDarwin,28,2023-01-06T19:48:45Z,"Darwin is the Open Source core of macOS, and PureDarwin is a community project to extend Darwin into a complete, usable operating system."
768,C,wolfssl,1866,696,C,https://github.com/wolfSSL/wolfssl,wolfSSL,43,2023-03-27T06:38:03Z,"The wolfSSL library is a small, fast, portable implementation of TLS/SSL for embedded devices to the cloud.  wolfSSL supports up to TLS 1.3!"
769,C,bcrypt-ruby,1865,280,C,https://github.com/bcrypt-ruby/bcrypt-ruby,bcrypt-ruby,15,2023-01-05T01:14:10Z,"bcrypt-ruby is a Ruby binding for the OpenBSD bcrypt() password hashing algorithm, allowing you to easily store a secure hash of your users' passwords."
770,C,msysgit,1862,641,C,https://github.com/msysgit/msysgit,msysgit,0,2016-05-21T12:46:39Z,msysGit has been superseded by Git for Windows 2.x
771,C,SUDO_KILLER,1861,230,C,https://github.com/TH3xACE/SUDO_KILLER,TH3xACE,0,2023-01-24T16:10:10Z,A tool to identify and exploit sudo rules' misconfigurations and vulnerabilities within sudo for linux privilege escalation.
772,C,pico-examples,1857,573,C,https://github.com/raspberrypi/pico-examples,raspberrypi,63,2023-03-26T21:48:23Z,
773,C,shad0w,1854,311,C,https://github.com/bats3c/shad0w,bats3c,9,2021-09-29T00:15:36Z,A post exploitation framework designed to operate covertly on heavily monitored environments
774,C,Team-Win-Recovery-Project,1853,755,C,https://github.com/TeamWin/Team-Win-Recovery-Project,TeamWin,800,2022-02-06T23:29:23Z,"Core recovery files for the Team Win Recovery Project (T.W.R.P) - this is not up to date, please see https://github.com/TeamWin/android_bootable_recovery/"
775,C,pelikan,1852,159,C,https://github.com/twitter/pelikan,twitter,39,2023-02-04T00:37:08Z,Pelikan is Twitter's unified cache backend
776,C,RedisGraph,1848,216,C,https://github.com/RedisGraph/RedisGraph,RedisGraph,294,2023-03-27T09:24:05Z,A graph database as a Redis module
777,C,HIT-OSLab,1848,565,C,https://github.com/hoverwinter/HIT-OSLab,hoverwinter,0,2022-06-11T16:22:31Z,S - 哈工大《操作系统》实验
778,C,kamailio,1847,833,C,https://github.com/kamailio/kamailio,kamailio,95,2023-03-25T03:46:08Z,Kamailio - The Open Source SIP Server for large VoIP and real-time communication platforms -
779,C,TrustKit,1847,307,C,https://github.com/datatheorem/TrustKit,datatheorem,17,2023-03-15T16:32:24Z,"Easy SSL pinning validation and reporting for iOS, macOS, tvOS and watchOS."
780,C,MemProcFS,1844,230,C,https://github.com/ufrisk/MemProcFS,ufrisk,7,2023-03-16T22:50:46Z,MemProcFS
781,C,ngx_brotli,1844,195,C,https://github.com/google/ngx_brotli,google,24,2023-01-05T14:37:42Z,NGINX module for Brotli compression
782,C,rizin,1843,234,C,https://github.com/rizinorg/rizin,rizinorg,291,2023-03-27T00:18:48Z,UNIX-like reverse engineering framework and command-line toolset.
783,C,sophia,1839,155,C,https://github.com/pmwkaa/sophia,pmwkaa,52,2019-01-25T12:24:15Z,Modern transactional key-value/row storage library.
784,C,mpitutorial,1838,725,C,https://github.com/mpitutorial/mpitutorial,mpitutorial,8,2023-03-10T00:41:22Z,MPI programming lessons in C and executable code examples
785,C,pgvector,1836,56,C,https://github.com/pgvector/pgvector,pgvector,2,2023-03-27T06:39:19Z,Open-source vector similarity search for Postgres
786,C,WindowsInternals,1834,453,C,https://github.com/zodiacon/WindowsInternals,zodiacon,4,2022-06-18T11:04:42Z,Windows Internals Book 7th edition Tools
787,C,unqlite,1834,151,C,https://github.com/symisc/unqlite,symisc,16,2023-03-04T17:25:12Z,"An Embedded NoSQL, Transactional Database Engine"
788,C,ios-twitter-image-pipeline,1831,103,C,https://github.com/twitter/ios-twitter-image-pipeline,twitter,6,2022-03-31T11:23:54Z,Twitter Image Pipeline is a robust and performant image loading and caching framework for iOS clients
789,C,tools,1830,530,C,https://github.com/nullsecuritynet/tools,nullsecuritynet,6,2022-11-03T10:05:36Z,"Security and Hacking Tools, Exploits, Proof of Concepts, Shellcodes, Scripts."
790,C,log.c,1825,411,C,https://github.com/rxi/log.c,rxi,10,2023-03-22T15:24:58Z,A simple logging library implemented in C99
791,C,can-utils,1825,635,C,https://github.com/linux-can/can-utils,linux-can,41,2023-03-25T16:22:12Z,Linux-CAN / SocketCAN user space applications
