rank,repo_name,forks,stars,language,repo_url,description,id
972,config,963,5870,Java,https://github.com/lightbend/config,configuration library for JVM languages using HOCON files,MDEwOlJlcG9zaXRvcnkyOTIzMjM2
971,lonelyTwitter,963,3,Java,https://github.com/hazelybell/lonelyTwitter,Lonely Twitter demo for CSCI 301,MDEwOlJlcG9zaXRvcnkxMzQwMDQwOQ==
974,Android-UI-Tutorials,962,229,Java,https://github.com/StacktipsLab/Android-UI-Tutorials,"In this series of tutorials, we show you the list of basic tutorials to get you start android programming.",MDEwOlJlcG9zaXRvcnk4NjExMTAx
975,ZhihuDailyPurify,961,6,Java,https://github.com/nsdown/ZhihuDailyPurify,Purified version of Zhihu Daily,MDEwOlJlcG9zaXRvcnkyMDIzOTYzMQ==
976,OpenSearch,961,6642,Java,https://github.com/opensearch-project/OpenSearch,🔎 Open source distributed and RESTful search engine.,MDEwOlJlcG9zaXRvcnkzMzQyNzQyNzE=
978,greenhouse,959,1322,Java,https://github.com/spring-attic/greenhouse,Reference web application for Spring technologies and social destination for Spring developers.,MDEwOlJlcG9zaXRvcnkxMzk0MDky
977,fj22-ingressos,958,8,Java,https://github.com/caelum/fj22-ingressos,,MDEwOlJlcG9zaXRvcnk5MTM4MDQ4NA==
979,u2020,957,5687,Java,https://github.com/JakeWharton/u2020,A sample Android app which showcases advanced usage of Dagger among other open source libraries.,MDEwOlJlcG9zaXRvcnkxNDM5MzczMQ==
980,maxwell,957,3595,Java,https://github.com/zendesk/maxwell,"Maxwell's daemon, a mysql-to-json kafka producer",MDEwOlJlcG9zaXRvcnkzMDU2MTE2MA==
981,my-site,957,2861,Java,https://github.com/WinterChenS/my-site,springboot2.0开发的个人网站，集成了：个人首页，个人博客，个人作品,MDEwOlJlcG9zaXRvcnkxMzE5Njk2NTg=
982,joda-time,955,4878,Java,https://github.com/JodaOrg/joda-time,Joda-Time is the widely used replacement for the Java date and time classes prior to Java SE 8.,MDEwOlJlcG9zaXRvcnkxNzU2MzUw
989,mahout,954,2044,Java,https://github.com/apache/mahout,Mirror of Apache Mahout,MDEwOlJlcG9zaXRvcnkyMDA4OTg1OQ==
983,OpenTripPlanner,954,1851,Java,https://github.com/opentripplanner/OpenTripPlanner,An open source multi-modal trip planner,MDEwOlJlcG9zaXRvcnkyMDY3MjUz
984,jitsi,954,3834,Java,https://github.com/jitsi/jitsi,"Jitsi is an audio/video and chat communicator that supports protocols such as SIP, XMPP/Jabber, IRC and many other useful features.",MDEwOlJlcG9zaXRvcnk5NjUzNzUy
990,aws-codedeploy-sample-tomcat,954,93,Java,https://github.com/aws-samples/aws-codedeploy-sample-tomcat,A sample Tomcat application integrated with CodeDeploy. ,MDEwOlJlcG9zaXRvcnk0ODA2MTIzNw==
986,undertow,953,3325,Java,https://github.com/undertow-io/undertow,High performance non-blocking webserver,MDEwOlJlcG9zaXRvcnk1MTAzNzg1
