rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
169,Java,Luban,13212,2217,Java,https://github.com/Curzibn/Luban,Curzibn,146,2021-11-06T13:32:29Z,Luban(鲁班)—Image compression with efficiency very close to WeChat Moments/可能是最接近微信朋友圈的图片压缩算法
170,Java,jenkins-example,70,2219,Java,https://github.com/TechPrimers/jenkins-example,TechPrimers,0,2023-03-20T05:46:10Z,Example project with Groovy based Jenkins Pipeline (Jenkinsfile)
171,Java,hellokoding-courses,656,2189,Java,https://github.com/hellokoding/hellokoding-courses,hellokoding,10,2022-06-21T04:00:55Z,"HelloKoding provides practical coding guides series of Spring Boot, Java, Algorithms, and other topics on software engineering"
172,Java,wildfly,2844,2178,Java,https://github.com/wildfly/wildfly,wildfly,0,2023-03-27T12:00:33Z,WildFly Application Server
173,Java,FileDownloader,10755,2170,Java,https://github.com/lingochamp/FileDownloader,lingochamp,158,2022-01-30T05:13:38Z,Multitask、MultiThread(MultiConnection)、Breakpoint-resume、High-concurrency、Simple to use、Single/NotSingle-process
174,Java,FtcRobotController,393,2161,Java,https://github.com/FIRST-Tech-Challenge/FtcRobotController,FIRST-Tech-Challenge,38,2023-03-25T22:53:08Z,
175,Java,Timber,6828,2157,Java,https://github.com/naman14/Timber,naman14,191,2023-01-27T10:32:14Z,Material Design Music Player
176,Java,jgsu-spring-petclinic,24,2148,Java,https://github.com/g0t4/jgsu-spring-petclinic,g0t4,1,2023-03-01T17:53:22Z,WIP update of spring-petclinic example used in my Jenkins Getting Started course on Pluralsight
177,Java,logger,13548,2141,Java,https://github.com/orhanobut/logger,orhanobut,68,2022-09-14T10:04:00Z,"✔️ Simple, pretty and powerful logger for android"
178,Java,techjobs-console-java,5,2127,Java,https://github.com/LaunchCodeEducation/techjobs-console-java,LaunchCodeEducation,0,2021-06-24T03:07:38Z,Assignment for the Java skill track and Java Web Development
179,Java,DanmakuFlameMaster,9406,2122,Java,https://github.com/bilibili/DanmakuFlameMaster,bilibili,252,2020-02-27T08:51:28Z,Android开源弹幕引擎·烈焰弹幕使 ～
180,Java,AndroidNote,8865,2106,Java,https://github.com/GcsSloop/AndroidNote,GcsSloop,49,2021-05-25T00:50:17Z,安卓学习笔记
181,Java,debezium,8279,2105,Java,https://github.com/debezium/debezium,debezium,0,2023-03-27T09:54:34Z,Change data capture for a variety of databases. Please log issues at https://issues.redhat.com/browse/DBZ.
182,Java,VitamioBundle,5276,2102,Java,https://github.com/yixia/VitamioBundle,yixia,292,2017-04-23T19:32:23Z,Vitamio for Android
183,Java,liferay-plugins,511,2097,Java,https://github.com/liferay/liferay-plugins,liferay,0,2021-04-28T18:10:03Z,
184,Java,Android-ObservableScrollView,9612,2089,Java,https://github.com/ksoichiro/Android-ObservableScrollView,ksoichiro,175,2021-06-01T03:54:51Z,Android library to observe scroll events on scrollable views.
185,Java,jabref,2946,2052,Java,https://github.com/JabRef/jabref,JabRef,360,2023-03-27T11:18:49Z,Graphical Java application for managing BibTeX and biblatex (.bib) databases
186,Java,cachecloud,7481,2048,Java,https://github.com/sohutv/cachecloud,sohutv,12,2023-03-17T01:36:33Z,"搜狐视频(sohu tv)Redis私有云平台 ：支持Redis多种架构(Standalone、Sentinel、Cluster)高效管理、有效降低大规模redis运维成本，提升资源管控能力和利用率。平台提供快速搭建/迁移，运维管理，弹性伸缩，统计监控，客户端整合接入等功能。(CacheCloud is a Redis cloud management platform. It supports Standalone, Sentinel, and Cluster architectures for Redis, effectively reducing large-scale Redis operation and maintenance costs, and improving resource management and utilization. The platform provides rapid construction/migration, operation and maintenance management, elastic scaling, statistical monitoring, client integration and access and other functions)"
187,Java,maven-enterprise-application,2,2079,Java,https://github.com/MithunTechnologiesDevOps/maven-enterprise-application,MithunTechnologiesDevOps,0,2022-12-15T23:38:55Z,
188,Java,zaproxy,10650,2045,Java,https://github.com/zaproxy/zaproxy,zaproxy,720,2023-03-27T10:50:47Z,The OWASP ZAP core project
189,Java,phonegap-facebook-plugin,1900,2042,Java,https://github.com/Wizcorp/phonegap-facebook-plugin,Wizcorp,412,2021-01-03T18:26:18Z,The official plugin for Facebook in Apache Cordova/PhoneGap
190,Java,react-native-push-notification,6578,2005,Java,https://github.com/zo0r/react-native-push-notification,zo0r,226,2023-03-08T14:30:25Z,React Native Local and Remote Notifications
191,Java,mybatis-plus-samples,1974,1988,Java,https://github.com/baomidou/mybatis-plus-samples,baomidou,10,2023-03-10T05:19:30Z,MyBatis-Plus Samples
192,Java,vert.x,13461,1987,Java,https://github.com/eclipse-vertx/vert.x,eclipse-vertx,187,2023-03-27T11:31:10Z,Vert.x is a tool-kit for building reactive applications on the JVM
193,Java,sfg-pet-clinic,211,1983,Java,https://github.com/springframeworkguru/sfg-pet-clinic,springframeworkguru,43,2023-03-18T15:43:58Z,SFT Pet Clinic
194,Java,sweet-alert-dialog,7262,1962,Java,https://github.com/pedant/sweet-alert-dialog,pedant,145,2021-08-31T11:15:13Z,"SweetAlert for Android, a beautiful and clever alert dialog"
195,Java,spring-boot-samples,1466,1951,Java,https://github.com/netgloo/spring-boot-samples,netgloo,5,2022-10-23T04:42:11Z,Spring Boot samples by Netgloo
196,Java,remusic,6077,1925,Java,https://github.com/aa112901/remusic,aa112901,86,2018-07-20T03:52:21Z,仿网易云音乐 安卓版，netease  android，音乐播放器 在线 下载
197,Java,JsBridge,9283,1922,Java,https://github.com/lzyzsd/JsBridge,lzyzsd,135,2022-12-22T12:42:58Z,"android java and javascript bridge, inspired by wechat webview jsbridge"
198,Java,crawler4j,4372,1921,Java,https://github.com/yasserg/crawler4j,yasserg,144,2021-11-04T08:31:46Z,Open Source Web Crawler for Java
199,Java,oc-install-ide-cours,26,1941,Java,https://github.com/geoffreyarthaud/oc-install-ide-cours,geoffreyarthaud,1,2023-03-25T11:09:30Z,"Activité du cours Openclassrooms ""Installez votre environnement de développement Java avec Eclipse""."
200,Java,spring-security-oauth,1876,1898,Java,https://github.com/Baeldung/spring-security-oauth,Baeldung,2,2023-03-03T15:39:46Z,"Just Announced - ""Learn Spring Security OAuth"": "
201,Java,remusic,6077,1925,Java,https://github.com/aa112901/remusic,aa112901,86,2018-07-20T03:52:21Z,仿网易云音乐 安卓版，netease  android，音乐播放器 在线 下载
202,Java,JsBridge,9283,1922,Java,https://github.com/lzyzsd/JsBridge,lzyzsd,135,2022-12-22T12:42:58Z,"android java and javascript bridge, inspired by wechat webview jsbridge"
203,Java,crawler4j,4372,1921,Java,https://github.com/yasserg/crawler4j,yasserg,144,2021-11-04T08:31:46Z,Open Source Web Crawler for Java
204,Java,oc-install-ide-cours,26,1941,Java,https://github.com/geoffreyarthaud/oc-install-ide-cours,geoffreyarthaud,1,2023-03-25T11:09:30Z,"Activité du cours Openclassrooms ""Installez votre environnement de développement Java avec Eclipse""."
205,Java,FirebaseUI-Android,4488,1900,Java,https://github.com/firebase/FirebaseUI-Android,firebase,98,2023-03-20T01:10:21Z,Optimized UI components for Firebase
206,Java,spring-security-oauth,1876,1898,Java,https://github.com/Baeldung/spring-security-oauth,Baeldung,2,2023-03-03T15:39:46Z,"Just Announced - ""Learn Spring Security OAuth"": "
207,Java,maven-standalone-application,0,2037,Java,https://github.com/LandmarkTechnology/maven-standalone-application,LandmarkTechnology,0,2021-02-19T01:05:40Z,
208,Java,AVLoadingIndicatorView,9695,1891,Java,https://github.com/HarlonWang/AVLoadingIndicatorView,HarlonWang,66,2022-02-09T09:15:36Z,DEPRECATED
209,Java,LeetCode,7061,1890,Java,https://github.com/yuanguangxin/LeetCode,yuanguangxin,0,2023-03-03T08:23:05Z,LeetCode刷题记录与面试整理
210,Java,XChange,3639,1883,Java,https://github.com/knowm/XChange,knowm,306,2023-03-24T12:05:52Z,XChange is a Java library providing a streamlined API for interacting with 60+ Bitcoin and Altcoin exchanges providing a consistent interface for trading and accessing market data.
211,Java,dataease,9313,1865,Java,https://github.com/dataease/dataease,dataease,83,2023-03-27T08:55:52Z,人人可用的开源数据可视化分析工具。
212,Java,hudi,4058,1858,Java,https://github.com/apache/hudi,apache,245,2023-03-27T11:02:23Z,"Upserts, Deletes And Incremental Processing on Big Data."
213,Java,phonegap-plugin-push,1955,1863,Java,https://github.com/phonegap/phonegap-plugin-push,phonegap,403,2021-09-20T07:28:46Z,Register and receive push notifications
214,Java,jetty.project,3527,1853,Java,https://github.com/eclipse/jetty.project,eclipse,381,2023-03-27T09:33:52Z,"Eclipse Jetty® - Web Container & Clients - supports HTTP/2, HTTP/1.1, HTTP/1.0, websocket, servlets, and more"
215,Java,MyBookshelf,7376,1842,Java,https://github.com/gedoor/MyBookshelf,gedoor,228,2022-04-01T02:57:15Z,阅读是一款可以自定义来源阅读网络内容的工具，为广大网络文学爱好者提供一种方便、快捷舒适的试读体验。
216,Java,ImmersionBar,10724,1831,Java,https://github.com/gyf-dev/ImmersionBar,gyf-dev,118,2022-03-25T02:26:08Z,android 4.4以上沉浸式状态栏和沉浸式导航栏管理，适配横竖屏切换、刘海屏、软键盘弹出等问题，可以修改状态栏字体颜色和导航栏图标颜色，以及不可修改字体颜色手机的适配，适用于Activity、Fragment、DialogFragment、Dialog，PopupWindow，一句代码轻松实现，以及对bar的其他设置，详见README。简书请参考：http://www.jianshu.com/p/2a884e211a62
