rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
893,C,zimg,2681,408,C,https://github.com/buaazp/zimg,buaazp,106,2018-03-29T09:22:38Z,A lightweight and high performance image storage and processing system.
894,C,CVE-2016-5195,918,407,C,https://github.com/timwr/CVE-2016-5195,timwr,35,2021-02-03T16:03:40Z,CVE-2016-5195 (dirtycow/dirtyc0w) proof of concept for Android
895,C,esp-who,1417,408,C,https://github.com/espressif/esp-who,espressif,56,2023-03-02T11:45:38Z,Face detection and recognition framework
896,C,sysstat,2518,407,C,https://github.com/sysstat/sysstat,sysstat,52,2023-03-11T17:24:59Z,Performance monitoring tools for Linux
897,C,os_lab_2019,16,403,C,https://github.com/IpovsOperatingSystems/os_lab_2019,IpovsOperatingSystems,0,2022-06-03T19:55:48Z,The operating system practical course 2019
898,C,clumsy,3686,407,C,https://github.com/jagt/clumsy,jagt,79,2022-05-17T08:51:49Z,"clumsy makes your network condition on Windows significantly worse, but in a controlled and interactive manner."
899,C,go-tun2socks,1172,406,C,https://github.com/eycorsican/go-tun2socks,eycorsican,7,2021-02-01T12:18:10Z,A tun2socks implementation written in Go.
900,C,CVE-2019-0708,3,404,C,https://github.com/victor0013/CVE-2019-0708,victor0013,0,2019-05-22T02:13:25Z,Scanner PoC for CVE-2019-0708 RDP RCE vuln
901,C,jsmpeg-vnc,2251,386,C,https://github.com/phoboslab/jsmpeg-vnc,phoboslab,48,2022-04-21T19:45:27Z,"A low latency, high framerate screen sharing server for Windows and client for browsers"
902,C,unispim,708,387,C,https://github.com/thunisoft/unispim,thunisoft,7,2014-06-10T08:41:32Z,华宇拼音输入法核心源码(source code of unispim)
903,C,android_hardware_samsung,43,384,C,https://github.com/LineageOS/android_hardware_samsung,LineageOS,0,2023-03-27T11:48:09Z,
904,C,flashrom,649,385,C,https://github.com/flashrom/flashrom,flashrom,75,2023-03-26T10:05:51Z,Send patches to https://review.coreboot.org: https://www.flashrom.org/Development_Guidelines#GitHub
905,C,yolanda,859,384,C,https://github.com/froghui/yolanda,froghui,7,2022-10-25T12:34:22Z,极客时间<网络编程实战>代码
906,C,Socket,632,385,C,https://github.com/shineyr/Socket,shineyr,6,2015-12-28T03:39:24Z,Linux网络编程
907,C,OverTheWire-website,981,384,C,https://github.com/OverTheWireOrg/OverTheWire-website,OverTheWireOrg,0,2023-02-22T20:25:17Z,OverTheWire website
908,C,PSoC-4-BLE,214,384,C,https://github.com/Infineon/PSoC-4-BLE,Infineon,0,2022-12-05T22:40:02Z,"PSoC 4 BLE is an easy-to-use, ARM® Cortex™-M0 based, single-chip solution which integrates programmable analog front ends, programmable digital peripherals, CapSense® technology for touch-sensing, and a Bluetooth® LE (Low Energy) or Bluetooth Smart radio."
909,C,zydis,2714,383,C,https://github.com/zyantific/zydis,zyantific,41,2023-03-26T19:11:31Z,Fast and lightweight x86/x86-64 disassembler and code generation library
910,C,LowCostLoRaGw,662,384,C,https://github.com/CongducPham/LowCostLoRaGw,CongducPham,212,2022-12-03T19:52:14Z,"Low-cost LoRa IoT & gateway with SX12XX (SX1261/62/68; SX1272/76/77/78/79; SX1280/81), RaspberryPI and Arduino boards"
911,C,inotify-tools,2791,382,C,https://github.com/inotify-tools/inotify-tools,inotify-tools,15,2022-12-30T12:04:56Z,  inotify-tools is a C library and a set of command-line programs providing a simple interface to inotify.
912,C,sdn-handbook,1182,382,C,https://github.com/feiskyer/sdn-handbook,feiskyer,0,2020-12-08T02:09:33Z,SDN网络指南（SDN Handbook）
913,C,i3lock,814,382,C,https://github.com/i3/i3lock,i3,12,2023-03-21T07:46:42Z,improved screen locker
914,C,linux_kernel_driver,41,381,C,https://github.com/wuxinxinggg/linux_kernel_driver,wuxinxinggg,0,2014-07-08T09:28:38Z,
915,C,dirbuster-ng,317,384,C,https://github.com/digination/dirbuster-ng,digination,3,2020-07-19T22:55:54Z,dirbuster-ng is C CLI implementation of the Java dirbuster tool
916,C,wasm3,5967,381,C,https://github.com/wasm3/wasm3,wasm3,42,2023-03-26T17:23:54Z,🚀 A fast WebAssembly interpreter and the most universal WASM runtime
917,C,Avem,1176,381,C,https://github.com/avem-labs/Avem,avem-labs,3,2018-01-28T12:00:25Z,🚁 轻量级无人机飞控-[Drone]-[STM32]-[PID]-[BLDC]
918,C,dsvpn,5053,381,C,https://github.com/jedisct1/dsvpn,jedisct1,3,2023-03-26T10:09:54Z,A Dead Simple VPN.
919,C,sniproxy,2260,380,C,https://github.com/dlundquist/sniproxy,dlundquist,95,2023-03-17T05:13:30Z,Proxies incoming HTTP and TLS connections based on the hostname contained in the initial request of the TCP session.
920,C,mesa,952,379,C,https://github.com/Mesa3D/mesa,Mesa3D,0,2023-01-05T10:18:34Z,Mesa 3D graphics library (read-only mirror of https://gitlab.freedesktop.org/mesa/mesa/)
921,C,python-midi,1434,381,C,https://github.com/vishnubob/python-midi,vishnubob,66,2021-09-30T17:12:43Z,Python MIDI library
922,C,ESP8266Audio,1632,381,C,https://github.com/earlephilhower/ESP8266Audio,earlephilhower,145,2023-03-03T15:45:13Z,"Arduino library to play MOD, WAV, FLAC, MIDI, RTTTL, MP3, and AAC files on I2S DACs or with a software emulated delta-sigma DAC on the ESP8266 and ESP32"
923,C,baresip,1130,380,C,https://github.com/baresip/baresip,baresip,5,2023-03-27T08:23:51Z,Baresip is a modular SIP User-Agent with audio and video support
924,C,VmwareHardenedLoader,1143,380,C,https://github.com/hzqst/VmwareHardenedLoader,hzqst,30,2022-12-02T01:12:31Z,Vmware Hardened VM detection mitigation loader (anti anti-vm)
925,C,fadecandy,1211,379,C,https://github.com/scanlime/fadecandy,scanlime,56,2022-03-01T04:14:39Z,Easy to use open source hardware to drive WS2811 LEDs with high-quality color
926,C,c_library_v2,144,380,C,https://github.com/mavlink/c_library_v2,mavlink,0,2023-03-24T15:04:37Z,Official reference C / C++ library for the v2 protocol
927,C,xbps-packages,6,378,C,https://github.com/xdave/xbps-packages,xdave,0,2020-05-30T10:22:20Z,XBPS packages for Void GNU/Linux
928,C,dirb,243,378,C,https://github.com/v0re/dirb,v0re,0,2022-03-19T18:37:53Z,Web Fuzzer
929,C,libav,966,378,C,https://github.com/libav/libav,libav,0,2021-05-22T23:16:28Z,"Libav github mirror, clone of git://git.libav.org/libav"
930,C,phc-winner-argon2,4238,378,C,https://github.com/P-H-C/phc-winner-argon2,P-H-C,43,2022-12-18T17:42:05Z,"The password hash Argon2, winner of PHC "
931,C,_putchar.c,55,381,C,https://github.com/holbertonschool/_putchar.c,holbertonschool,0,2016-10-15T01:47:20Z,
932,C,android_external_busybox,51,377,C,https://github.com/dylex/android_external_busybox,dylex,0,2011-06-17T21:54:17Z,Android/bionic port of busybox
933,C,py-webrtcvad,1616,377,C,https://github.com/wiseman/py-webrtcvad,wiseman,39,2021-02-15T20:33:36Z,Python interface to the WebRTC Voice Activity Detector 
934,C,CS50-intro-course,270,377,C,https://github.com/Federico-abss/CS50-intro-course,Federico-abss,1,2022-01-25T09:48:42Z,Harvard's cs50: Introduction To CS 2020 - solutions to every pset plus final project!
935,C,android_run_root_shell,81,377,C,https://github.com/hiikezoe/android_run_root_shell,hiikezoe,2,2016-11-08T06:59:04Z,
936,C,Windows-Driver-Frameworks,1154,377,C,https://github.com/microsoft/Windows-Driver-Frameworks,microsoft,2,2022-11-11T01:16:40Z,WDF makes it easy to write high-quality Windows drivers
937,C,widevine-l3-guesser,760,376,C,https://github.com/Satsuoni/widevine-l3-guesser,Satsuoni,0,2021-08-06T09:24:37Z,
938,C,moonlight-android,2044,376,C,https://github.com/moonlight-stream/moonlight-android,moonlight-stream,83,2023-03-12T08:13:10Z,GameStream client for Android
939,C,nginx-upload-module,933,376,C,https://github.com/fdintino/nginx-upload-module,fdintino,43,2023-03-05T17:56:45Z,A module for nginx web server for handling file uploads using multipart/form-data encoding (RFC 1867).
940,C,HID,2054,376,C,https://github.com/NicoHood/HID,NicoHood,70,2022-12-26T05:30:40Z,Bring enhanced HID functions to your Arduino!
941,C,duband,598,376,C,https://github.com/baiduwearable/duband,baiduwearable,3,2015-08-31T10:23:54Z,duband1.0 对应的公版版本为 1.0
942,C,c,534,375,C,https://github.com/justin-lathrop/c,justin-lathrop,7,2023-03-05T17:37:47Z,C Programming Projects
943,C,palera1n,2994,374,C,https://github.com/palera1n/palera1n,palera1n,0,2023-03-25T05:41:02Z,iOS 15.0-16.3.1 semi-tethered checkm8 jailbreak
944,C,igraph,1511,374,C,https://github.com/igraph/igraph,igraph,183,2023-03-26T22:45:32Z,Library for the analysis of networks
