rank,repo_name,forks,stars,language,repo_url,description,id,last_commit
768,mpush,1446,3625,Java,https://github.com/mpusher/mpush,MPush开源实时消息推送系统,MDEwOlJlcG9zaXRvcnk1NzI2MTM2Mg==,2022-06-17T01:50:04Z
769,blurkit-android,313,3616,Java,https://github.com/CameraKit/blurkit-android,The missing Android blurring library. Fast blur-behind layout that parallels iOS.,MDEwOlJlcG9zaXRvcnk3Mjk2NzIzNg==,2021-04-03T23:18:57Z
770,TelegramBots,993,3614,Java,https://github.com/rubenlagus/TelegramBots,Java library to create bots using Telegram Bots API,MDEwOlJlcG9zaXRvcnk0OTYxMDc5OA==,2023-02-27T13:00:44Z
771,OsmAnd,924,3613,Java,https://github.com/osmandapp/OsmAnd,OsmAnd,MDEwOlJlcG9zaXRvcnkxMjU4NTcw,2023-03-28T11:30:15Z
772,Ant-Media-Server,558,3612,Java,https://github.com/ant-media/Ant-Media-Server,"Ant Media Server is a streaming engine software that provides adaptive, ultra low latency streaming by using WebRTC technology with ~0.5 seconds latency. Ant Media Server is highly scalable both horizontally and vertically. It can run on-premise or on-cloud.",MDEwOlJlcG9zaXRvcnk4MzUzMDIwOQ==,2023-03-27T15:27:03Z
773,rejoiner,151,3611,Java,https://github.com/google/rejoiner,Generates a unified GraphQL schema from gRPC microservices and other Protobuf sources,MDEwOlJlcG9zaXRvcnkxMTMzNTY3NDA=,2023-03-23T18:32:55Z
774,atmosphere,762,3609,Java,https://github.com/Atmosphere/atmosphere,Event Driven WebSockets Framework  with Cross-Browser Fallbacks,MDEwOlJlcG9zaXRvcnk3NDkxMzc=,2023-03-20T19:17:38Z
775,emojicon,828,3608,Java,https://github.com/rockerhieu/emojicon,"A library to show emoji in TextView, EditText (like WhatsApp) for Android",MDEwOlJlcG9zaXRvcnkxNjAyNTA4NA==,2020-06-13T00:51:58Z
776,maxwell,957,3595,Java,https://github.com/zendesk/maxwell,"Maxwell's daemon, a mysql-to-json kafka producer",MDEwOlJlcG9zaXRvcnkzMDU2MTE2MA==,2023-03-24T21:54:46Z
777,Guns,1579,3595,Java,https://github.com/stylefeng/Guns,Guns基于SpringBoot 2，致力于做更简洁的后台管理系统，完美整合springmvc + shiro + mybatis-plus + beetl!Guns项目代码简洁，注释丰富，上手容易，同时Guns包含许多基础模块(用户管理，角色管理，部门管理，字典管理等10个模块)，可以直接作为一个后台管理系统的脚手架!,MDEwOlJlcG9zaXRvcnk5NjM5MTExMg==,2022-10-12T07:20:43Z
778,ChatKit,819,3595,Java,https://github.com/stfalcon-studio/ChatKit,"Android library. Flexible components for chat UI implementation with flexible possibilities for styling, customizing and data management.  Made by Stfalcon",MDEwOlJlcG9zaXRvcnk4MDcxMTE1Ng==,2022-05-23T20:11:06Z
779,JDA,687,3591,Java,https://github.com/DV8FromTheWorld/JDA,Java wrapper for the popular chat & VOIP service: Discord https://discord.com,MDEwOlJlcG9zaXRvcnk0Nzg4MDIwNw==,2023-03-27T15:08:47Z
780,ExplosionField,590,3588,Java,https://github.com/tyrantgit/ExplosionField,explosive dust effect for views,MDEwOlJlcG9zaXRvcnk0Mjk5NzE3Ng==,2017-01-17T08:06:52Z
781,library,580,3585,Java,https://github.com/ddd-by-examples/library,A comprehensive Domain-Driven Design example with problem space strategic analysis and various tactical patterns.,MDEwOlJlcG9zaXRvcnkxNjUyMTQ0OTQ=,2022-05-25T16:38:38Z
782,DropDownMenu,800,3581,Java,https://github.com/dongjunkun/DropDownMenu,一个实用的多条件筛选菜单,MDEwOlJlcG9zaXRvcnkzNzkwNDYyMA==,2022-02-18T09:26:17Z
783,android-stackblur,664,3577,Java,https://github.com/kikoso/android-stackblur,"Android StackBlur is a library that can perform a blurry effect on a Bitmap based on a gradient or radius, and return the result. The library is based on the code of Mario Klingemann.",MDEwOlJlcG9zaXRvcnkxMjEzNjYzNg==,2022-05-13T07:20:36Z
784,parceler,272,3574,Java,https://github.com/johncarl81/parceler,:package: Android Parcelables made easy through code generation.,MDEwOlJlcG9zaXRvcnkxMTE0MDQ1OQ==,2022-05-20T20:48:57Z
785,TinyPinyin,443,3572,Java,https://github.com/promeG/TinyPinyin,适用于Java和Android的快速、低内存占用的汉字转拼音库。,MDEwOlJlcG9zaXRvcnk0MzQwOTM5OA==,2020-10-18T15:40:29Z
786,LiveEventBus,481,3570,Java,https://github.com/JeremyLiao/LiveEventBus,:mailbox_with_mail:EventBus for Android，消息总线，基于LiveData，具有生命周期感知能力，支持Sticky，支持AndroidX，支持跨进程，支持跨APP,MDEwOlJlcG9zaXRvcnkxNDA1MzkwNzI=,2021-09-03T10:44:10Z
787,aviatorscript,710,3564,Java,https://github.com/killme2008/aviatorscript,A high performance scripting language hosted on the JVM.,MDEwOlJlcG9zaXRvcnkxNTQxMjc1,2023-03-22T14:22:01Z
788,BackgroundLibrary,449,3562,Java,https://github.com/JavaNoober/BackgroundLibrary,"A framework for directly generating shape through Tags, no need to write shape.xml again（通过标签直接生成shape，无需再写shape.xml）",MDEwOlJlcG9zaXRvcnkxNDgwMDg1Mzg=,2023-03-09T06:06:43Z
789,jacoco,1018,3560,Java,https://github.com/jacoco/jacoco,:microscope: Java Code Coverage Library,MDEwOlJlcG9zaXRvcnk0OTUwMTg3,2023-03-27T07:37:00Z
790,Store,313,3557,Java,https://github.com/nytimes/Store,Android Library for Async Data Loading and Caching,MDEwOlJlcG9zaXRvcnk3NTExODI4MA==,2019-12-06T21:32:10Z
791,Skeleton,447,3556,Java,https://github.com/ethanhua/Skeleton,A library provides an easy way to show skeleton loading view like Facebook and Alipay,MDEwOlJlcG9zaXRvcnk5ODc4MDEzNA==,2021-07-31T07:30:24Z
792,effective-java-3e-source-code,1772,3556,Java,https://github.com/jbloch/effective-java-3e-source-code,"The source code from the third edition of Effective Java, with minor additions as necessary to make it runnable.",MDEwOlJlcG9zaXRvcnkxNDM0NzIxMjQ=,2020-10-28T20:11:11Z
793,Leetcode,1235,3547,Java,https://github.com/fishercoder1534/Leetcode,Solutions to LeetCode problems; updated daily. Subscribe to my YouTube channel for more.,MDEwOlJlcG9zaXRvcnk2NDU3ODQ1OQ==,2023-03-28T02:57:41Z
794,DSBridge-Android,597,3545,Java,https://github.com/wendux/DSBridge-Android,":earth_americas: A modern cross-platform JavaScript bridge, through which you can invoke each other's functions synchronously or asynchronously between JavaScript and native.",MDEwOlJlcG9zaXRvcnk3NzgzMDQyNg==,2020-09-11T06:36:58Z
795,RecyclerViewPager,675,3544,Java,https://github.com/lsjwzh/RecyclerViewPager,Deprecated,MDEwOlJlcG9zaXRvcnkyOTQwMTA4MQ==,2021-03-11T10:48:00Z
796,retrolambda,229,3542,Java,https://github.com/luontola/retrolambda,"Backport of Java 8's lambda expressions to Java 7, 6 and 5",MDEwOlJlcG9zaXRvcnkxMTU0MzY5MQ==,2021-07-09T05:54:43Z
797,maven,2436,3538,Java,https://github.com/apache/maven,Apache Maven core,MDEwOlJlcG9zaXRvcnkyMDY0ODM=,2023-03-27T17:22:09Z
798,jeepay,1464,3537,Java,https://github.com/jeequan/jeepay,Jeepay是一套适合互联网企业使用的开源支付系统，支持多渠道服务商和普通商户模式。已对接微信支付，支付宝，云闪付官方接口，支持聚合码支付。,MDEwOlJlcG9zaXRvcnkxMDAwODQzMzA=,2023-03-21T06:13:56Z
799,floatingsearchview,682,3536,Java,https://github.com/arimorty/floatingsearchview,A search view that implements a floating search bar also known as persistent search,MDEwOlJlcG9zaXRvcnk0NjY0MzQxMw==,2022-08-28T17:46:50Z
801,QR-Code-generator,935,3533,Java,https://github.com/nayuki/QR-Code-generator,"High-quality QR Code generator library in Java, TypeScript/JavaScript, Python, Rust, C++, C.",MDEwOlJlcG9zaXRvcnk1NjI4NDE1OA==,2023-03-27T09:24:27Z
